ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,fulltimeEmployees,fulltimeVolunteers
6b7ed8a5-726a-3b2d-b5e0-b46a1cf0205f,,,,,8,22
9e45ed89-16c4-33fe-b55c-a202d07dfd79,,,,,8,0
0b95039e-2825-3080-98a8-90aa093b3dc6,,,,,40,1
1a931f81-ad8f-367b-8337-cb9077bf7fc0,FY 2018-19,,,One Crore Thirty Three Lakhs,16,
b41ab9b0-cf27-37af-be1d-09e53379a56d,,,,,18,25
e924105d-cb8a-3b2b-bddd-4754196a4f57,,,,,14,35
c56a3d4d-fe0d-34fe-84f0-166b07f60300,FY 2019-20,,,4025652.8,15,20
7dbe8763-e81b-3c80-a053-790950348d0e,,,,,60,1000
0f39d9bb-cb52-3ccd-a87c-d0d44221cb5d,,,,,47,20
5428d241-f73f-3c8e-8bc8-408ddaf226be,,,,,21,18
2accf0fe-5695-3781-aac4-23ba84d50e4c,,,,,60,2
42de6fa5-7829-3d34-9acc-7e721be880aa,,,,,66,60
e2b19968-1d4f-3ded-bbfc-df0dca804a91,,,,,54,15
d0330165-8bd1-3e8b-b7bf-41c3be7e21ff,,,,,32,8
7026879a-b491-3645-83d7-14aa82799ccf,,,,,86,
42341e75-e051-35d5-8314-af996cb47102,,,,,62,1100
5eaa9d7d-6f68-39ac-9006-8aec05d8f655,FY 2018-19,,,6022233,41,359
6393f317-6cee-35f2-a673-65f20fa6d87b,,,,,4,1
474d829c-1f54-3e4f-ab27-87fe97297259,,,,,94,18
84308ee7-d00d-3309-90f6-fb9db233fdb5,FY 2017-18,,,132472.8,0,5
0f92bcd8-37bb-31fc-a956-1dbad8106d86,,,,,10,20
de4bddeb-6be6-36bb-b144-edcb5dc636b1,FY 2019-20,,,4472700,8,35
49f14b86-a248-3eab-b0ae-42e0cdd1fbd7,,,,,36,0
3cf23bff-1f42-3bfc-a115-f09106e7cafc,,,,,21,30
608dd4b0-a0b1-3617-a9a7-fba44f9b41ab,,,,,3,115
7398d847-02c7-3e21-b6ac-c653cec4b752,,,,,6,4
af3c4b1c-b165-3bdf-acc0-6961e8e7c0bc,,,,,19,0
da804ffd-d180-39b3-be97-f895969b2222,,,,,479,0
a5d0c6e7-8523-31bb-8f93-a583fe32e9a9,,,,,34,18
a757b51c-1069-38b5-b7fb-22446f9beb67,FY 2018-19,,,2624633,22,100
8e1ff3be-9c91-36ec-a97e-bee3b3760d23,FY 2018-19,,,2675904,27,2
9d4cb2a5-facc-34b1-83de-2e2af1592080,FY 2018-19,,,2959117,11,2
4973064c-a3ec-3fa5-b874-4b1d75133f7e,FY 2017-18,,,4300000,100,50
134ec8ce-c2e7-3ae8-a870-d5a9704ffe0c,FY 2017-18,,,74356470.91,261,0
d2ef372a-dea7-3f43-a30b-87e842df0355,FY 2018-19,,,383.65,35,6
84e3f058-c215-3e50-bf1b-f8a6d5ff9c62,,,,,67,34
a6375c24-d6c4-32dd-b8c6-52602554ef6d,,,,,1,12
755beb74-0f78-3adf-91e3-89bccf78e745,,,,,2,21
609013b8-4711-309b-bae0-89670743c303,,,,,13,10
4a1012fc-dad1-334d-bc80-85f4765752cc,,,,,11,30
41510fcf-0239-31cf-b3d0-0e2d0081a39c,,,,,11,33
4bec5aab-08cd-3562-9faa-ba61477f192c,,,,,114,
5c78c5f8-575c-37f7-8881-c6aab08912e4,,,,,20,35
4a0c4281-5596-3948-8140-d26847aadc45,,,,,14,39
3a235c4b-e58b-3786-9074-5a2205b536bc,,,,,24,110
91b79ee3-84c2-321c-aa37-eb12c3dad454,,,,,6,5
62f87f4b-20c8-30ac-8454-50aa637d32c3,,,,,25,3
8a19ab0e-dac8-35ed-a80a-e6768e37d30b,,,,,22,
2f60f9e2-6971-3aa7-84ee-77782edb5734,,,,,127,2
2be72a8d-a255-34d4-a881-3cdf40819867,FY 2018-19,,,600000,5,1
a1a5cc5d-c856-39be-a25a-819181a2b1d8,,,,,22,105
ac95193d-f54b-3319-8e33-84ef56825b3f,FY 2018-19,,,150 LACS,9,10
53013d58-c2f6-3a38-a9b1-d92a4bcc0bb9,,,,,98,
22770637-f907-3904-8d16-4c4fe900c874,,,,,210,4
1c6aac7a-0474-31ad-b86b-3d27b68441d8,,,,,19,
dd633b30-292a-3bd0-bfb6-e33abdd2c8a5,,,,,100,8
54f6fa12-a113-32e0-b59a-ed2b8015d945,,,,,30,250
1da66246-91f3-3da1-9e1f-ed7104195eda,,,,,15,12
a49d9b7a-c239-30ae-9087-baa602b13faa,,,,,11,17
9f4ceae5-043f-3ce7-9cd4-629120a681a3,,,,,94,1329
a269c953-9a5e-3bb3-a427-c6b1cb746d0a,,,,,12,50
500bafda-229d-30cc-b446-bb0487e514a7,,,,,39,5
e8602e7e-fed9-30bd-ab60-e63b1068cbc1,,,,,82,2
c90eb3a2-c773-3da5-ac04-90978f6c3b25,,,,,6,896
a9eec7a6-12b2-307a-8860-998fd0f68ae2,FY 2018-19,,,11.79,5,70
aef9d4de-9561-3199-b85f-aa2f19437d72,,,,,28,7
e01e18b2-dd19-3fb6-b9ab-d920022a4451,,,,,5,12
5ccb157e-b91c-3bf5-83ba-0ab1f8001df5,FY 2017-18,,,13052392.84,14,5
dada29cc-06a7-3df9-9d25-50ee83d3b746,,,,,65,
983d18de-5bb5-3bae-bd8f-78328ece5cc4,,,,,,5
ea082b27-f3b2-3d92-b937-cdcdd9d5ee0c,,,,,5,7
6b611f7b-36ed-30f6-8e32-3167e8e4e9a9,,,,,39,2
0596b486-492d-35b4-8db1-308543cf2970,,,,,2,5
46a71098-6b23-3a60-8e82-cb090cf3e795,,,,,125,0
823768f1-6b77-30ab-a43c-bd0c40d22923,,,,,30,
74298ba8-df5d-31e2-83df-1ae4e63c6898,FY 2017-18,,,,2,5
